time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,roll_cf,pitch_cf,yaw_cf,roll_kf,pitch_kf,yaw_kf
289,0.0024,-0.0218,9.8745,0.3695,-0.2694,-0.1051,30.6767,-10.62,40.063,-0.3813,0.4334,-1.0525,-1.3367,1.3042,0.1619
300,-0.1128,0.1137,9.8259,-0.7676,-0.2651,0.0023,31.0038,-9.1433,40.1742,1.0578,-0.4735,0.3022,0.1073,2.0371,-1.2726
312,-0.0122,-0.1561,9.732,1.4656,0.6711,-0.1603,30.6659,-8.7547,39.8724,-0.5203,2.4014,1.163,0.7309,-1.1336,-0.274
328,0.1257,0.0937,9.7599,-0.7682,0.3926,0.3052,27.38,-11.9415,40.358,-1.4807,-0.5522,0.1312,-0.081,-1.5608,-0.0579
346,-0.0552,-0.0996,9.721,0.1315,-0.5867,-0.1561,29.0498,-9.452,41.4432,1.6341,-0.3062,0.5474,0.2231,-0.8957,-0.6852
357,0.0359,0.0424,9.7798,-0.4298,0.4478,-0.0375,30.5233,-10.3542,38.814,-0.6281,0.0475,-0.888,-1.7188,-0.0279,1.1455
367,-0.0186,-0.1709,9.7936,0.2333,0.1804,0.6712,28.0265,-10.5468,39.1223,0.4096,-0.589,-0.5741,1.0841,-0.069,0.7097
382,0.0415,-0.15,9.7847,0.18,0.1201,0.4581,29.3935,-8.2152,39.119,1.7498,-0.9001,-0.9852,-0.369,0.2807,-0.4504
392,0.0541,0.0045,9.7638,-0.7084,-0.2017,-0.5042,31.0642,-10.0617,40.9051,0.0989,-0.9261,0.7916,0.6092,-0.2327,-1.1419
403,0.0168,-0.0556,9.8114,-0.862,-0.6089,-0.1228,31.4356,-10.2936,39.3221,0.5031,-0.1909,-1.2844,0.4663,0.6833,-1.2926
413,0.0929,0.0456,9.8367,0.2263,-0.3539,-0.0521,30.5903,-10.4804,41.1477,-1.1905,-1.6362,0.7531,0.0449,0.8132,0.162
423,-0.0641,0.0353,9.8908,0.4774,0.5996,0.3322,30.4237,-10.8191,39.6435,0.3196,0.8987,-0.3029,-0.7333,-1.7059,0.991
434,-0.1057,-0.0744,9.7541,-1.5997,0.5743,0.005,30.1198,-10.3823,39.7671,0.9974,-0.4662,0.0906,0.7368,-0.4973,-0.33
449,-0.0494,-0.0371,9.8062,-0.6812,-0.5708,0.4111,29.7611,-12.208,41.1364,2.389,0.0384,0.0943,0.2661,-1.5565,-1.2128
460,0.084,-0.0217,9.7659,0.0889,0.0699,0.3827,29.0485,-10.0822,41.1981,0.7476,1.0591,-0.1908,0.988,0.4387,1.0891
470,-0.1305,-0.0609,9.7768,-0.333,0.2609,-0.7181,29.2806,-11.1495,39.7149,-2.1628,0.4858,-0.8479,-0.628,0.159,-0.5096
481,-0.0899,0.017,9.7725,-0.5491,-0.2702,-0.7234,29.3632,-9.9123,38.2834,0.0376,1.1499,0.4226,-0.5604,0.5213,0.6484
494,-0.099,-0.1331,9.8488,-0.1626,0.2796,0.3984,30.0678,-9.3441,40.6786,-0.4373,0.2264,-1.0287,-2.3018,-0.1948,-0.4454
508,0.0082,-0.0608,9.776,0.071,0.8501,0.8471,29.6437,-9.7967,39.7,3.4865,-0.837,0.2619,-0.0629,0.3932,-0.8671
520,-0.0079,-0.0097,9.8731,-0.8419,-0.2297,-0.8761,29.1353,-8.3755,41.0785,1.0234,-0.6589,-1.0932,-1.2928,0.5986,-0.0579
531,-0.0188,0.0864,9.7205,0.4415,0.2142,-0.1016,29.1387,-10.759,38.2386,-0.984,-1.0276,0.9102,1.1316,-0.894,1.2036
541,0.2522,0.0256,9.8947,0.1254,-0.4035,-1.094,29.8178,-8.8891,39.9135,0.489,-0.3554,0.3446,-0.0271,-0.0577,0.0965
551,0.0825,0.0961,9.7554,-0.2194,0.7442,0.094,29.4917,-10.6281,41.2196,0.1833,0.4888,1.0812,-0.6077,0.0592,0.7542
564,-0.0877,0.0839,9.9008,-0.0453,-0.2688,0.1521,29.56,-9.4608,39.1265,0.8096,0.5896,-0.2406,0.1553,-1.2876,0.9114
575,-0.0869,0.0269,9.8063,0.1157,-0.539,0.6863,30.6763,-9.2319,41.3578,0.6581,0.7709,-0.6123,-1.0297,0.3128,-0.6306
586,0.0809,-0.0056,9.7968,-0.2103,-0.1438,-0.5723,30.4134,-8.8745,39.3972,-0.8969,1.5611,1.2567,-0.6593,0.6887,0.1572
597,0.0191,-0.0982,9.7487,0.0633,-0.3087,-0.871,30.622,-10.3817,37.9444,0.8723,1.003,0.2065,1.8817,0.7927,0.068
609,0.0073,-0.1664,9.8575,0.0657,0.4956,-0.4049,29.3975,-12.0437,39.2414,-0.4095,0.5738,1.7973,0.4546,-0.1335,0.186
621,0.0193,0.1165,9.7564,0.358,0.1151,0.1734,28.3682,-10.9447,39.7899,-0.0752,-0.6865,-1.6896,-0.6625,-0.4014,-1.0616
632,0.0482,-0.0671,9.8299,0.8268,-0.3705,-0.4335,31.3212,-10.6866,39.3148,-0.5128,-0.8914,1.2282,-1.0005,-0.0533,0.673
643,-0.0206,0.0802,9.7277,0.8177,-0.1428,-0.6351,28.848,-9.7375,40.0181,-0.1465,1.2537,0.8724,-0.5254,-0.1426,0.6061
653,0.0628,0.076,9.8244,-0.9142,0.0112,0.3613,29.673,-9.1241,38.7302,-1.2493,-0.0449,-1.0413,-0.4832,-1.4993,0.1859
664,0.1175,-0.0459,9.777,0.2206,0.1231,-0.4761,30.2783,-11.5259,40.9993,0.8419,-0.4858,0.2808,-0.8394,-0.1154,-0.4318
674,0.0344,-0.1563,9.8083,-0.0867,0.2139,0.6061,29.4963,-7.9838,40.5369,0.922,1.3944,-0.8686,-0.0692,1.2733,1.4794
685,0.1082,0.0556,9.7902,-0.2177,-1.0162,0.7035,29.792,-10.7574,42.3156,-0.0259,0.2312,0.8479,-0.8522,-0.4959,-0.6289
698,0.1293,-0.1639,9.7901,0.365,0.0871,-0.1435,29.802,-11.1559,39.1865,-2.2509,-0.3574,-0.1012,-0.6778,0.0814,0.0048
710,0.0906,-0.0176,9.8549,0.2379,-0.1806,0.1076,29.5345,-10.4482,42.3603,1.4226,1.364,0.4462,0.2953,0.2473,-0.8125
723,0.0518,0.1076,9.8375,0.1212,-0.1751,0.5942,31.4455,-8.7991,39.1021,0.4239,-0.2209,-0.5195,-0.2923,-0.4106,-0.6377
735,-0.1323,-0.0434,9.7522,-0.3226,0.4148,0.3021,30.7969,-9.3114,40.558,0.3792,0.0003,0.0219,1.934,-1.2852,-1.9417
746,-0.0473,0.0369,9.7883,0.0078,-0.5066,0.6602,29.0845,-10.6678,39.4543,-1.3275,0.505,0.463,0.1554,0.4489,1.232
757,-0.1444,0.0499,9.7969,0.6945,0.2337,0.3039,29.7922,-10.4761,39.8533,0.2159,0.4813,1.0451,-0.2731,0.594,-0.3419
767,-0.0321,0.1922,9.8462,0.8674,-0.7987,-1.0164,27.23,-10.2667,38.7,-0.2524,0.3091,0.989,1.5298,-0.9442,1.1058
779,-0.0627,0.1852,9.794,-0.7148,0.2541,0.7816,29.9797,-8.8668,39.9632,0.8734,0.5149,-1.939,-0.5763,0.8686,0.7628
797,0.1228,0.0584,9.7139,0.649,0.4762,0.5836,28.2835,-10.9231,39.4775,0.7315,-0.3665,-1.5169,0.249,1.9839,1.448
811,0.2592,0.1003,9.7637,0.3197,0.2551,0.3075,30.4791,-9.2351,40.4788,0.0289,0.8237,0.4155,1.2967,0.9923,-0.0354
827,0.0917,0.0763,9.8206,0.2092,0.1898,0.4599,28.1653,-11.8666,38.3921,0.4239,0.7369,-1.1684,0.6706,0.1921,0.2195
841,-0.0588,-0.094,9.8454,-0.4931,-0.1076,-0.0926,29.0889,-12.3668,40.2453,-1.5341,1.0664,0.3573,-0.786,0.561,-1.6943
854,0.0148,-0.0734,9.8981,-0.181,0.3473,0.3098,30.1058,-10.5324,40.652,-0.5671,1.9585,0.2321,-0.3636,-0.0252,1.2607
868,0.0473,-0.0653,9.8578,-0.9649,0.0967,-0.4386,30.182,-9.9181,40.4418,0.2357,-0.9798,-0.3999,-0.2,-0.5268,-1.2591
879,-0.0432,-0.1496,9.807,0.1442,0.3248,-1.1784,31.6032,-10.7271,38.4578,1.3841,1.4351,0.8607,-2.6174,-0.5931,-1.9996
889,0.2266,-0.0839,9.7017,-0.1629,-0.2497,-0.0963,32.0977,-10.9544,42.184,1.4179,-0.8877,2.2094,-0.3439,0.4818,0.0205
900,-0.0224,-0.0999,9.7148,0.6851,0.3431,0.5553,30.7169,-9.7137,39.8283,1.289,1.1746,0.6034,-1.0917,-0.6714,-0.5918
913,-0.0465,-0.0281,9.8188,-0.2278,0.3531,0.0209,30.0538,-9.9025,39.0571,-1.0119,-0.8556,-1.2419,1.0004,0.749,0.8006
927,-0.066,0.0732,9.7093,0.0826,0.124,-0.339,29.9266,-9.6075,40.6896,-1.3165,-1.19,0.2394,-1.4911,0.874,0.3839
939,0.0395,0.2995,9.8071,0.6155,-0.168,0.1744,28.7565,-11.8247,38.541,0.4943,0.9865,-0.1005,-0.6846,-0.6653,0.0363
956,-0.1462,-0.0553,9.7992,-0.4423,0.7557,-0.0625,30.6117,-9.1127,40.5063,-0.9935,0.2337,-0.3241,-0.902,0.7298,0.4995
971,-0.107,-0.0568,9.9021,0.0558,-0.6678,-0.3156,28.7952,-9.8518,38.4035,0.5599,-0.078,0.5292,-0.1138,-0.4037,0.3504
983,-0.0656,0.0072,9.8896,-0.1182,0.2937,0.1673,29.9323,-11.268,38.4776,0.3312,-0.9714,-0.1081,1.5074,1.3072,-1.4106
994,-0.0999,0.0255,9.8186,0.0049,0.3623,1.121,27.6805,-9.2398,40.6749,0.7417,-0.3833,1.9028,-0.9819,0.2707,0.6596
1005,0.125,0.0389,9.8213,-0.6047,0.5857,-0.0644,30.1262,-9.5245,40.3189,-0.2369,-0.7455,-0.8975,-0.0761,0.0842,-0.2083
1015,-0.1826,-0.065,9.6696,0.3181,-0.0643,0.1771,29.6395,-9.3759,38.5506,-0.7968,1.6805,0.141,0.6282,0.9869,1.4434
1028,-0.094,-0.084,9.8211,0.3533,-0.6977,-0.5512,30.4469,-8.8681,39.7835,-0.9977,0.3462,-0.9178,-0.4438,-0.3622,1.7574
1044,-0.1383,-0.0121,9.8769,-0.9141,-0.5501,0.0427,31.843,-10.3532,38.7503,-0.1097,-0.6514,0.145,0.8132,0.8301,-1.5053
1056,-0.0479,0.3432,9.818,0.661,-0.2741,0.385,27.9962,-11.5213,41.3479,0.0224,1.9505,-1.4069,-0.9782,-0.0637,1.6453
1069,0.058,-0.2039,9.8132,-0.4342,0.5283,0.0269,29.0357,-9.8154,39.5078,1.995,0.2626,-0.9984,-1.1543,0.2269,-0.2611
1081,-0.1803,0.145,9.7617,-0.1316,0.0026,0.23,30.713,-9.0005,40.6206,-2.486,0.5407,0.6888,-0.0204,0.6346,-0.8332
1092,0.0533,0.1983,9.7564,0.5926,0.548,1.07,29.7869,-10.5156,40.2945,0.0078,0.2896,0.1627,1.3669,0.3271,-0.8527
1104,0.0838,0.1592,9.761,-0.101,0.2276,0.1907,31.3498,-10.6333,39.6042,0.2321,0.8042,1.006,-0.6953,-0.1281,-0.9381
1115,0.1553,-0.1435,9.8051,0.5651,0.0114,-0.1041,27.7168,-9.2996,40.0305,-1.4083,-1.1082,-0.5475,-0.1901,1.0886,0.6561
1125,-0.0474,0.0081,9.8439,0.2573,0.3564,-0.3151,30.2792,-8.2048,40.0886,-0.853,-2.0677,-0.302,-0.2862,1.208,0.329
1135,0.059,0.0002,9.7893,-0.1031,-0.6725,-0.3736,30.9833,-10.5892,39.8248,0.3071,-0.9821,1.0093,-0.8961,-0.6657,1.3143
1154,-0.2512,0.0602,9.8239,0.1278,-0.9281,-0.105,29.3155,-9.9638,39.7011,0.7179,0.6601,0.2462,0.6384,-0.0765,-0.1651
1166,-0.0004,-0.0057,9.7809,-0.3736,-0.1406,-0.1007,30.2407,-11.1996,39.3108,0.5863,0.0402,-1.0127,-1.7294,-0.1267,-1.1638
1180,-0.1368,-0.0563,9.7782,-0.0043,-0.6479,0.4748,29.3548,-9.5325,40.158,0.6103,-0.2062,0.2809,1.1855,1.5783,-1.5547
1193,-0.1053,0.0944,9.7296,-0.532,-0.0924,0.1259,29.3818,-10.6198,38.6026,-0.3452,-0.8492,-0.8685,-0.3503,-0.0198,-0.7501
1205,0.0872,-0.1991,9.7932,0.1337,-0.3294,-0.5038,30.6108,-9.0606,39.8912,1.8516,0.6498,-1.6989,-2.4119,0.09,-0.9544
1217,-0.0748,0.0744,9.7834,-0.0749,-0.0948,-0.1044,28.9333,-9.5042,40.3279,1.9197,0.4647,0.5909,-1.775,1.0695,-0.543
1228,0.0058,0.1019,9.7956,0.7007,0.256,0.4222,32.4466,-9.1611,39.8095,0.9217,0.4788,-0.3139,-1.8983,-0.6306,-1.011
1238,-0.0864,0.0961,9.8614,-0.016,-0.4183,0.4313,30.4463,-9.1417,38.788,-1.1696,-1.1486,2.2323,-1.8726,-0.4539,-0.568
1249,-0.1029,0.1295,9.7959,0.1047,0.107,1.1923,31.4377,-9.5868,38.9445,0.7008,-0.7293,-1.0195,0.9313,1.0209,-0.2458
1259,-0.0893,-0.0831,9.8041,-0.5679,-0.1464,-0.979,29.9156,-10.8528,39.2316,0.4926,-0.588,0.6223,-0.6104,1.0926,-1.1398
1271,0.0121,0.2356,9.8958,0.3741,0.6971,0.0651,29.9456,-10.1608,38.0298,1.2318,-1.0934,0.1039,-1.3224,-0.1561,-1.2309
1284,-0.0752,-0.0397,9.8578,0.3755,-0.3584,-0.5883,29.5476,-9.3549,40.3455,1.0502,-1.0258,0.3715,1.1019,1.0121,-1.7756
1296,-0.0763,0.0428,9.7967,0.6286,0.5701,0.6086,31.3605,-10.1948,40.3394,0.222,-0.5008,0.0142,-1.1525,2.7407,-0.8475
1310,-0.0203,-0.089,9.7976,0.1827,0.5022,-0.268,28.5483,-8.7774,40.2578,0.0805,0.6173,-0.7774,-0.8022,1.4791,0.4605
1326,0.0479,0.0175,9.7328,-0.5519,1.0179,0.0597,29.1463,-8.0422,40.7489,1.8816,-1.1484,-1.4549,1.371,0.681,1.3793
1337,-0.1322,-0.1278,9.8602,0.8059,0.0656,-0.4357,28.6049,-9.9597,41.4646,-0.3996,0.9108,1.1224,0.3112,0.2115,0.9064
1348,0.1106,0.0001,9.7057,-0.43,0.8661,0.1055,30.7956,-10.5388,39.2909,1.3339,-1.2902,-0.0182,-0.419,1.2053,-0.7001
1358,0.0249,0.0376,9.7862,0.3991,0.7512,-0.4488,28.708,-9.1289,39.7805,-0.2802,1.8535,-0.5112,-1.4509,-1.1589,0.9027
1369,-0.0733,-0.0303,9.7675,0.1679,0.0888,-0.1857,30.0248,-9.6604,40.9758,-0.376,-0.7018,0.2603,0.2539,-0.2021,-0.6167
1379,0.0047,-0.0514,9.8707,-0.6249,0.407,-0.092,28.7033,-8.3575,39.5758,-1.0826,-0.9848,0.0549,-0.683,0.8373,-2.1985
1393,-0.1304,-0.1106,9.8194,-0.1765,-0.7769,0.3772,28.783,-11.2819,41.9428,-0.3511,0.6816,0.3186,-0.929,0.057,-1.4466
1405,-0.1793,0.0091,9.8889,0.3921,0.1384,0.0469,30.1571,-10.0456,40.9258,0.9957,0.6485,-0.1511,0.0228,0.0463,-0.0157
1419,-0.0012,-0.0059,9.7987,0.5049,-0.6159,-0.4336,30.058,-11.6661,41.1409,0.497,-0.45,0.3936,0.141,-0.7667,0.2967
1433,0.1239,0.0428,9.8345,0.2291,0.2922,0.363,31.0885,-9.5097,38.6461,0.7408,-1.1038,0.267,1.1482,0.2685,0.2037
1445,0.0886,-0.0759,9.7761,0.7725,0.0258,0.3803,31.1228,-8.3335,39.2526,0.6776,-0.6189,0.8639,0.6402,-1.7329,-2.8606
1457,0.105,-0.0628,9.7481,-0.1989,0.3835,-0.122,30.9754,-8.5946,40.7825,0.9998,-0.2519,-0.3282,-1.1681,-0.9872,0.2793
1468,-0.131,-0.0648,9.8364,0.3544,-0.2985,-0.0649,29.1533,-8.6013,38.7472,-0.667,-0.607,1.2132,1.2387,-0.9837,-0.2734
1478,-0.0961,0.1081,9.7794,-0.3605,-0.6063,0.1448,29.8657,-9.7928,39.0267,-1.5899,1.7009,-0.704,0.925,-0.0564,1.9246
1489,0.0476,-0.0417,9.7989,0.3985,-0.5523,0.4841,30.8372,-9.3891,40.7632,-1.1239,0.3725,0.6898,-0.1284,0.7404,-0.7418
1499,0.0605,0.0173,9.7754,0.1095,-0.1532,-0.0823,30.3752,-10.0074,41.3518,-1.2551,1.2184,0.8249,-0.3638,-1.9331,0.2208
1513,-0.1379,0.0218,9.7597,0.3067,0.3021,0.1228,32.2077,-13.9103,40.3956,-0.1667,-0.3843,-0.5766,0.2571,0.0983,-0.0753
1525,0.2714,-0.0063,9.7754,0.3366,-0.7365,-0.1867,29.5995,-8.7894,38.0727,1.392,1.6624,0.469,1.1177,0.8635,0.0666
1535,-0.0445,0.1019,9.7926,-1.0794,-0.5144,-0.079,31.2164,-12.3319,40.2578,-1.1339,1.1768,-1.1861,0.6474,0.9573,-0.194
1547,-0.1288,0.0026,9.8206,-0.0781,-0.6029,0.0081,28.2876,-8.5394,38.8412,-0.5966,-0.7853,0.4663,-1.3607,-1.317,-0.004
1559,-0.0415,0.0949,9.9504,0.4141,0.1113,0.4135,28.7243,-10.9226,38.5813,0.6834,-0.5133,-0.8935,-1.268,0.2151,1.0748
1569,0.0798,-0.1015,9.8223,-0.1275,-0.0824,0.0696,29.0675,-11.9627,39.9272,0.2328,-1.3503,-2.0813,-0.6275,1.7844,0.1615
1582,0.0931,-0.1135,9.862,-0.6351,0.0184,-0.5552,29.2289,-10.9792,39.8136,-0.4055,-0.2586,-0.987,1.0398,-0.0538,0.9141
1592,-0.0049,-0.0119,9.8978,0.3627,0.9556,0.0893,29.1538,-9.142,40.0878,-0.3353,-1.4685,0.2447,0.0881,-0.0109,0.5667
1603,0.0411,-0.0861,9.8263,0.4405,-0.0981,-0.8139,31.4031,-8.4438,38.8643,-0.5412,-1.6499,-1.9176,-1.0709,0.4917,0.2698
1613,-0.1096,-0.0073,9.7549,0.4472,-0.1672,0.4369,32.2936,-9.6677,39.1987,-0.3431,-1.1306,-1.9438,-1.5428,0.1547,-1.5992
1623,0.1018,0.092,9.7789,0.4166,0.7235,-0.042,30.4674,-10.4385,38.8747,-1.1554,-0.7705,-1.1936,0.1663,-1.3943,-0.3268
1635,-0.1169,0.0947,9.7463,-0.5822,0.4683,-0.0908,29.8841,-10.058,39.1234,-1.0511,-2.1079,1.6324,-0.0335,0.041,-0.035
1649,-0.0791,-0.0234,9.8282,0.3207,0.7757,-0.1507,30.1902,-8.9794,39.9463,-0.9646,0.7095,0.6247,-0.7054,-1.316,-1.4417
1659,0.0825,0.0319,9.7653,0.873,-0.2818,-0.6417,31.4592,-10.1323,38.192,-0.9184,-0.9727,-1.6008,-0.9238,0.3161,0.0948
1671,-0.056,-0.0274,9.7807,0.377,-0.1207,-0.2886,30.1733,-10.1233,37.7189,0.0669,-0.953,0.9231,-0.4384,1.3028,-0.3828
1687,0.0488,0.0372,9.7091,-0.9366,-0.7209,-0.2934,30.4545,-7.9723,40.7416,-1.4938,0.3029,-1.5179,-1.55,0.3636,-1.6685
1699,-0.1895,0.0443,9.706,0.228,0.2975,-1.8326,31.7413,-11.2814,39.3299,-0.4744,-0.7642,-0.6816,2.42,1.0333,-1.9551
1710,-0.1207,-0.0709,9.8291,1.2695,0.731,0.2129,31.9163,-9.4007,40.6751,-0.7555,0.6715,-0.7367,-0.0599,-0.0222,-0.1318
1720,0.1198,-0.0043,9.81,0.1361,0.5294,-0.4874,29.3503,-11.6167,38.5184,-1.4605,0.2211,2.0894,-0.2683,0.2223,1.1439
1735,-0.2331,-0.1542,9.8115,-0.0964,0.1502,0.2616,30.4941,-10.1293,40.7593,-0.0666,-0.6898,-1.4689,1.0049,0.0863,0.9809
1750,-0.0244,-0.0001,9.8473,-0.1138,0.4731,-0.5727,30.1487,-8.3712,38.1655,-0.0916,-0.9157,-1.5539,-1.2286,-0.5947,0.5853
1763,-0.1078,-0.0558,9.7027,-0.2217,-0.7275,0.1171,28.1699,-10.276,39.8101,-2.0649,1.2159,1.0417,-0.4264,0.1991,0.303
1776,0.0373,-0.0096,9.7934,-1.1532,-0.5921,0.694,29.3741,-10.0556,39.9039,0.7323,-0.2838,-0.5158,0.775,2.4316,-0.9275
1789,0.1217,-0.0065,9.7377,-0.1277,-0.2371,-0.3912,30.9787,-9.9947,40.1096,-0.785,0.4497,-1.0008,0.2533,-0.3695,-1.7839
1802,0.0676,0.0059,9.8399,0.2527,-0.0518,-0.2732,30.4985,-10.4818,39.6728,0.0719,1.8382,-0.6294,-0.518,-0.0704,-1.5538
1814,-0.0851,-0.0137,9.8158,-0.2711,-0.7694,-0.5199,30.8412,-9.1212,40.0144,-0.2064,0.3845,-2.4131,-0.6314,0.5665,0.6628
1824,-0.0797,-0.1096,9.708,0.4613,-0.2376,0.7623,29.1677,-10.2571,39.8046,-1.8401,0.3728,-0.1186,-1.6264,0.8885,-1.3413
1834,0.0417,-0.0228,9.7492,0.3395,0.4952,0.5753,29.4364,-9.3477,42.0212,-2.823,0.854,-0.6219,0.0937,0.9947,-0.663
1844,0.0064,0.0014,9.8957,0.2103,-0.1226,-0.1412,30.7101,-11.3782,38.8198,-0.6853,-0.2312,-2.1083,-0.0393,-1.1938,-0.1434
1862,0.0573,0.0015,9.8824,-0.7053,-0.676,-0.2534,28.9653,-10.8733,41.8644,0.0641,0.3656,-0.9558,0.128,1.6839,0.1395
1874,0.0952,-0.1106,9.7525,-0.4547,0.7169,-0.1091,30.5418,-11.6489,39.1505,1.519,0.3932,-0.7077,-0.4541,1.6709,-0.4665
1887,0.0523,-0.0096,9.8092,-1.374,0.5076,0.1485,29.6673,-9.7639,41.7072,0.9149,0.2683,0.923,-0.6465,-0.9869,-0.0765
1899,0.0244,0.0402,9.7779,-1.1405,-0.2576,-0.0995,29.8251,-8.8692,41.5653,0.3178,0.1208,0.2096,1.4549,0.5845,-0.7561
1911,0.023,0.0141,9.8881,0.0185,0.1718,-0.2795,30.8196,-8.9969,41.881,-0.7512,-0.663,-0.1078,2.0243,-0.9945,0.1828
1922,-0.1744,0.0581,9.8204,1.2567,0.4393,0.3798,30.2222,-9.0112,39.6371,1.6095,0.4092,2.0734,0.3892,0.474,-0.6546
1933,0.2526,0.1854,9.8389,0.4612,0.1565,0.6113,29.2176,-9.289,40.942,0.3707,0.6446,-0.2649,0.4441,0.8149,0.0194
1943,0.0122,0.1375,9.8458,0.2425,0.5145,0.5261,30.0457,-11.4548,38.1815,-1.5295,0.0114,-0.2573,0.3817,-0.7183,-0.2769
1957,-0.1301,-0.0388,9.8273,0.5329,-0.1265,0.1368,31.5388,-11.1708,38.8051,0.0447,0.1065,0.9301,0.6614,-1.883,0.4438
1971,0.1491,0.0868,9.7917,0.2775,0.3108,-0.4581,27.9184,-12.0989,39.969,-0.5614,0.9596,-2.4566,1.056,0.2131,-0.795
1983,-0.0253,-0.0887,9.8208,-0.3731,-0.3148,-0.1618,28.7718,-10.5984,39.5454,-0.9869,-0.4431,-0.8708,-0.3315,-0.0596,0.9336
1996,-0.0431,-0.0077,9.85,-0.1679,0.7365,-0.404,28.2904,-10.6129,38.8099,0.236,-0.1076,0.3321,-0.7513,-0.2912,1.1817
2007,0.1385,0.1264,9.7833,-0.0913,-1.2534,0.0818,30.4704,-11.1461,39.024,0.3058,1.0746,0.3959,-1.2331,0.5008,-2.4863
2018,-0.0597,-0.1519,9.7977,-0.7995,-0.0259,1.266,31.6052,-9.2532,39.7438,0.5933,-0.635,0.047,-1.5626,-1.3404,0.0596
2031,0.0912,0.002,9.7841,-0.1279,-0.0756,0.3598,32.1008,-9.7217,41.6946,0.3568,0.7616,0.942,0.8864,0.1842,0.4447
2041,0.0511,-0.0163,9.8209,0.424,-0.1179,0.1786,29.405,-10.7087,39.4227,0.0977,0.5369,-0.4854,1.0994,-1.5835,-0.3732
2051,-0.1442,-0.0178,9.7296,0.4953,-1.218,-0.6055,29.6346,-8.6995,41.4603,-0.8735,-0.5067,-1.1454,0.5091,-0.2907,-0.1444
2061,-0.0663,-0.1104,9.835,0.3365,-0.1239,1.499,29.7075,-10.7522,40.6507,1.1789,-0.2602,0.082,-0.6564,-0.3377,0.6031
2073,0.1414,0.0269,9.7528,0.1543,-0.3995,0.8447,31.0086,-9.4233,39.0002,1.4159,-0.3288,-0.9795,0.9957,-0.5211,-0.5993
