t_ms,ax,ay,az,gx,gy,gz,mx,my,mz,roll_gyro,pitch_gyro,yaw_gyro,roll_cf,pitch_cf,yaw_cf,roll_ekf,pitch_ekf,yaw_ekf,roll_madgwick,pitch_madgwick,yaw_madgwick,roll_mahony,pitch_mahony,yaw_mahony
196,0.1267,0.1094,9.8566,0.0939,-0.3628,-0.1321,29.462,-8.3329,40.5453,0.8205,-0.5135,1.3007,-2.1536,-0.6318,-1.6067,-0.3175,0.8143,-0.7396,1.1755,0.4963,-0.392,-2.0717,0.2349,1.321
207,0.0813,-0.0106,9.8118,0.0808,-0.3742,0.4352,31.4676,-11.2842,41.3448,1.041,-0.0137,-0.2379,-0.8671,-0.1448,1.2194,-2.0464,-0.1107,-0.1537,1.5268,-0.0563,-0.9775,-1.9556,-2.0149,1.8685
224,-0.0553,0.1492,9.7612,1.0649,-0.3036,-0.6599,28.8968,-10.0458,41.8413,1.763,0.6659,-0.5594,1.4066,1.24,-0.4505,-0.3644,-0.9779,1.8861,1.6353,-1.123,0.0556,-0.958,0.3185,-0.3293
235,0.0411,-0.1328,9.8093,0.5059,0.6129,-0.1432,28.1295,-7.8459,41.1714,0.0011,0.8631,1.524,0.0341,-2.2886,0.2622,-0.0095,-0.3467,1.4744,-0.7087,1.2699,-0.51,1.3555,0.606,1.0456
245,-0.0918,0.0468,9.8027,0.1731,0.1998,0.1466,30.7722,-9.589,40.0296,-0.462,-1.4793,-0.0348,0.6908,0.2698,1.6604,0.2306,1.454,-1.0274,-0.7926,1.2026,0.5029,1.104,0.996,-0.6048
258,0.0373,0.174,9.8136,0.5013,-0.7283,0.715,29.1881,-11.3615,39.1152,0.5848,0.9097,-1.5177,0.8224,-1.7186,-1.1442,0.4647,2.0201,1.1837,0.3869,-0.0537,-0.9573,1.1367,-1.1915,-0.9649
270,0.0109,-0.0242,9.817,-0.8812,0.7968,0.7072,30.4797,-10.7798,40.8067,0.9886,0.6002,0.6602,0.8056,1.9826,-2.2001,-0.0089,1.3186,-1.6329,0.3532,0.7685,-0.2414,0.5101,0.6611,0.1941
280,-0.0748,-0.0912,9.7667,0.5992,-0.4459,0.042,30.701,-9.4785,40.1562,1.8913,-0.776,1.1813,0.1987,0.8604,-0.7849,-0.4557,-1.6644,0.5329,0.8707,-1.2264,-0.4674,-0.3086,-0.2363,-2.8391
296,0.0482,-0.0846,9.7673,-0.7597,0.3037,0.6762,30.4549,-10.0044,41.727,-1.2994,0.2524,-1.1763,-0.7717,0.2181,0.0006,-1.4311,1.6494,-0.4105,1.585,1.2057,-0.3794,0.1236,-1.3553,-1.1428
308,0.0496,0.0104,9.8644,-0.2644,-0.2298,0.2007,30.4133,-10.2073,40.2508,-0.9111,0.2846,-0.915,-0.539,0.7181,0.0731,1.1019,-0.1525,-0.6117,0.22,-0.1353,0.0373,0.0762,0.7152,-1.4075
319,0.1901,-0.0097,9.8411,0.3955,-0.3541,-0.618,29.0739,-10.0385,38.5695,1.1738,0.4616,1.495,0.8836,0.6613,0.1256,-0.0693,0.1112,-0.4564,0.7098,-0.0121,-0.8957,-1.309,-0.9686,-0.0895
329,-0.0471,-0.2055,9.8691,-0.3249,-0.4412,0.2167,29.4522,-9.6123,40.7147,-0.7227,1.0875,0.5909,1.2635,-0.4226,0.289,-1.6272,-0.1556,0.1963,0.5679,-0.6413,-1.525,-0.019,0.7966,1.317
340,-0.1526,-0.0042,9.794,1.0335,0.6692,-0.6024,30.7767,-10.625,40.5802,-0.6893,0.4943,-0.7036,-0.6267,0.1508,-1.8151,-2.0085,-1.5201,0.1864,-0.7219,0.9007,-0.0937,0.7525,0.5624,0.613
350,-0.0336,0.0077,9.8816,0.2308,-0.0101,0.081,30.2856,-8.9678,41.7226,-0.1302,0.537,-0.4937,0.8758,-0.1826,-0.2574,-0.0443,-0.3539,-1.3481,1.8221,-0.2428,0.5814,0.6319,-0.7554,-0.6694
360,-0.057,-0.0886,9.7674,0.2599,1.4289,0.3539,31.4515,-9.4758,39.7209,0.255,-1.8723,0.9003,-0.7203,0.5824,1.3065,2.1381,-0.3901,-0.8144,0.5924,-0.657,0.9275,0.0137,-0.2685,-1.6227
371,-0.0447,-0.0323,9.7614,0.0888,-0.1674,0.0124,29.4658,-8.0613,39.4422,1.9527,0.7019,-1.31,-0.2986,0.1508,-0.0944,2.345,-0.8192,-0.3209,0.6785,-0.087,-1.0692,-0.1491,-0.6876,0.1093
381,0.038,-0.0732,9.835,-0.2585,-0.6059,-0.3003,28.1649,-9.8604,41.2235,-0.6493,1.0654,-1.5931,-0.9842,1.2821,0.8867,-0.9054,0.6551,-1.892,0.0544,1.5551,-0.3398,1.822,0.6932,-0.4425
392,0.1216,0.0952,9.7762,0.1869,0.0899,-0.4142,30.4472,-9.9129,41.4358,-0.1266,-0.8995,1.432,-0.9176,-1.3283,-1.7678,-0.1749,-0.5853,0.9275,-2.1753,0.5313,-0.1042,0.152,-0.5458,1.0177
402,0.1307,-0.0496,9.8394,-0.2349,0.4372,-1.252,30.7021,-9.1076,40.1003,-0.3927,0.7847,0.1335,0.1924,0.1169,0.325,-0.1505,-0.64,-1.0054,-1.0472,-1.5165,0.6901,-1.2462,-0.3563,0.7139
413,0.0333,-0.0098,9.8428,0.001,0.3992,0.1052,30.2037,-8.9888,40.226,-1.5588,-0.3853,2.1083,1.5274,-0.9193,-0.5323,-1.999,1.6978,0.4871,0.3871,-1.4031,0.6361,1.1077,-0.6097,-0.0104
423,0.106,0.0212,9.8047,0.246,-0.3342,-0.0041,27.9283,-9.2888,42.1836,0.6772,1.3384,-0.6867,1.1675,0.4178,-0.1773,1.0299,-0.3995,-0.3116,1.2683,-0.4636,0.3282,1.0003,0.1189,0.313
434,-0.0974,0.0213,9.8287,0.2722,-0.2671,0.0611,28.9167,-8.9566,39.5478,-0.3746,1.0989,-1.0297,-0.1783,-1.2333,-1.6297,-1.3656,0.6694,-0.4167,0.5802,0.0291,1.2137,-1.0524,0.1821,0.0891
444,-0.0065,0.0715,9.8046,-1.0325,0.2661,-0.1303,30.4623,-9.4498,39.6804,-0.037,-0.2991,0.3638,-1.5744,0.1702,0.5009,-0.073,0.2114,0.1799,0.7576,0.6703,0.6973,1.8182,0.518,0.0479
455,0.1971,0.0719,9.8917,-0.078,0.4078,0.0431,27.5136,-10.2719,39.7269,-0.348,1.492,1.1145,1.6617,-0.3668,1.129,0.7806,-0.1404,1.0287,0.0123,-1.4319,1.1809,0.0625,0.4098,0.6203
465,-0.0528,-0.0218,9.8256,-0.3378,-0.7258,-0.6255,29.4435,-11.1294,39.5586,-0.2623,-0.2522,0.387,0.6582,-1.1953,-0.7287,-0.6868,-0.0141,2.0509,0.2369,-0.4911,-1.4169,0.1738,0.2589,0.119
476,-0.0559,0.0939,9.7652,0.3541,0.0995,-0.5604,28.7385,-9.1014,40.9599,-0.1372,0.634,0.0309,0.8918,-0.9413,0.7903,0.9249,-0.2622,-0.3434,-0.7832,-0.856,-1.29,-0.8736,-1.0353,-1.7077
486,-0.0261,0.1067,9.8206,0.1465,-0.4133,0.4993,30.6535,-10.266,41.0569,-1.0934,-1.2192,-0.3891,-0.2694,-0.2319,0.6331,-1.1287,1.8878,-0.2465,-0.0573,-1.1393,1.0051,-0.2985,0.1385,-0.846
496,-0.2114,0.0067,9.8388,-0.1461,-0.3035,0.0539,31.9103,-9.1491,39.1335,0.0515,-1.0282,-0.5555,0.175,0.423,0.3304,-1.4134,-0.3995,-2.7145,0.2615,1.3488,1.2511,-0.9259,-0.2444,1.2718
507,0.2185,-0.029,9.7832,0.2429,-0.4038,-0.0607,29.121,-9.8513,39.5271,-0.3038,0.7031,-2.6434,0.3094,-0.0946,2.2148,0.0614,-0.7691,-0.3588,0.1566,0.6334,-0.359,-0.8719,-1.1105,0.7113
517,0.0029,-0.0945,9.8105,0.4407,0.2301,0.2469,29.0205,-11.6786,40.5124,-1.0647,-1.3555,1.3019,0.825,1.2296,0.0666,-0.2294,0.8031,0.4379,-1.2641,0.2686,-0.2783,-0.6755,1.7334,-0.5676
528,0.0486,-0.1215,9.8021,0.4569,0.3783,-0.5017,29.7677,-9.9938,40.3176,0.2826,1.3594,0.5063,0.0673,-0.0019,-0.1812,0.2624,0.7355,-1.1729,0.5228,0.3901,-0.6006,-0.2704,1.8069,-0.5298
538,-0.1123,0.0678,9.7166,0.4859,0.0807,-0.5855,30.0599,-11.2434,41.623,-0.8384,1.0601,-0.4615,-0.7855,0.6255,0.787,-0.078,-0.2898,0.2601,-0.4591,1.4011,-0.6978,-0.8968,1.6749,0.5609
549,0.0305,0.0598,9.7971,1.0039,0.0911,-1.1215,28.7963,-10.488,39.6931,-0.4555,1.259,0.4894,0.2333,-0.2822,0.9582,-1.0233,-0.6671,0.2251,0.8453,-0.2054,1.5133,0.3581,-0.2698,0.3064
559,0.1003,0.0058,9.7645,0.5946,0.3896,-0.02,28.5256,-9.674,40.4917,0.0549,0.6125,-0.5368,-0.043,0.0182,-1.0139,1.412,1.503,-0.4394,1.1154,-1.154,-1.0867,-0.8602,-0.1523,0.2522
570,-0.0107,0.1099,9.7821,0.3572,-0.6628,0.6853,30.5731,-11.2563,39.4061,-1.9001,0.0104,1.2674,1.2407,1.6937,-1.7147,1.5147,0.6717,0.4037,1.3824,1.4788,-0.5192,0.2782,-0.2158,-0.6765
580,0.0498,0.1779,9.7815,0.764,0.6027,0.6094,27.8132,-10.6274,40.2428,-1.5191,-0.146,0.057,0.1206,-0.0665,1.1526,0.9969,-0.1743,-1.0873,1.1139,1.939,0.2545,-1.5157,1.3056,1.1828
591,0.0824,0.0078,9.7961,0.6319,0.4837,0.0526,30.3384,-10.7142,41.097,0.742,0.3895,1.7828,0.6782,0.1197,0.4737,0.9673,0.5624,2.4103,0.3948,0.6784,-0.8415,-0.5796,-0.541,1.3799
601,0.0896,-0.1272,9.8649,0.3706,0.782,-0.604,29.4563,-8.7338,39.9766,-1.3282,-0.8461,1.5519,0.9894,0.3258,-0.9638,0.0588,1.4789,0.1892,1.1318,-0.0748,-0.3988,-0.6848,-1.1994,-0.4536
612,0.0432,0.1044,9.7432,-0.3288,0.6489,0.2643,30.9024,-10.1379,38.0167,0.2004,0.8578,-0.5198,0.3797,-1.1067,-0.6765,-1.5713,0.2351,1.7441,0.1005,-0.449,0.8256,-1.0958,0.2591,1.1461
622,-0.017,0.0577,9.7675,-0.5285,0.5204,-0.6546,29.216,-9.8195,40.3402,-0.6689,0.067,-1.0125,1.3837,-2.3533,0.1036,-0.3428,-1.1105,0.6592,0.8353,-0.2944,0.2611,0.5039,-1.2603,0.4806
632,-0.0471,-0.2024,9.809,-1.464,0.2967,-0.0669,30.4853,-9.9116,39.4044,2.114,0.8088,1.6369,-0.2861,-0.3043,-0.737,-0.2702,-0.2028,1.7487,0.7056,1.1476,-0.1334,-0.6141,-0.8432,-0.8971
643,0.1336,-0.0084,9.7452,0.1933,-0.2045,-0.679,28.7754,-10.1799,39.7403,-0.4627,1.1392,-0.7881,0.853,-0.4037,-0.8095,-1.411,-0.0371,1.252,-0.2347,0.0636,0.9054,-0.314,0.5882,0.7111
653,-0.0415,0.0281,9.878,0.4954,-0.7949,-0.6477,30.0078,-11.7568,39.8403,-0.024,1.4576,0.0439,-0.5681,-0.1432,-1.3865,-0.5981,-0.3891,-1.2628,1.6751,-1.2493,-1.1615,1.3651,0.6452,-0.37
663,0.0284,-0.0777,9.8712,-0.2085,-0.6151,0.5882,31.1,-9.4127,40.1917,1.8782,-0.8492,0.6325,-0.5821,-0.9338,-0.4121,0.2152,0.697,0.6951,0.7823,0.074,-0.0375,0.2805,0.4339,1.3795
674,0.1821,0.1173,9.7941,1.2294,-0.0391,0.1137,30.2207,-10.1753,39.662,-1.7368,-0.445,-0.3264,1.0491,2.3661,-1.6089,-2.2258,1.1143,-0.9633,-0.1081,1.6294,-0.8035,1.632,-1.0732,0.2484
684,-0.0605,-0.1781,9.7848,-0.7227,0.6065,-0.0998,31.1415,-8.2297,38.7995,-0.1026,-1.3907,-0.3604,-0.1169,0.8104,-0.7044,0.4496,1.2321,1.0347,-1.0945,0.7197,0.0487,-0.0734,0.7661,1.5598
694,-0.0008,0.0507,9.7441,0.5813,-0.9204,-0.425,29.6499,-11.1706,40.7806,1.1057,-0.3297,2.9502,0.717,-0.4623,0.6072,0.0742,-0.7065,1.3243,-0.2989,-0.5713,-2.1563,0.4819,-0.3413,-1.2218
705,-0.1249,-0.0662,9.7873,0.2589,0.6932,0.4491,29.8723,-8.4468,41.012,-0.5334,-0.3652,-0.9446,-0.9587,-0.5471,-0.299,0.5353,1.3258,0.7345,-0.4844,-1.0742,0.758,-0.276,1.187,0.1308
715,0.0048,-0.0765,9.7726,0.2091,0.6172,1.0598,30.7424,-9.2879,39.4273,-1.9175,1.984,-0.8035,-0.9459,0.9271,0.6052,0.5741,-0.4312,-0.9116,0.0359,0.9135,-0.5591,1.7926,-1.4483,-0.183
725,-0.101,-0.119,9.8494,0.1964,-0.0219,0.2733,28.7485,-11.2972,40.7234,0.1869,1.7731,-0.4627,0.2385,1.7055,-0.4024,0.8591,2.0508,-0.5493,0.7212,1.1341,-0.8363,0.3353,1.6435,1.3138
746,-0.1068,0.0431,9.8299,0.0913,0.2044,-0.3126,30.5647,-9.5488,41.0858,1.927,1.7464,0.1863,-0.1261,0.1892,0.2734,0.2833,1.1748,0.7001,-1.6658,1.5904,3.1322,-0.4564,0.5568,0.6527
760,0.075,0.1474,9.7997,0.6585,0.1863,-0.2232,29.4556,-10.1148,41.9091,1.0612,0.1646,-0.8538,-0.8285,0.3504,0.7854,-1.1189,1.2374,-1.6325,0.3957,0.177,0.0971,0.2921,0.4533,0.5158
772,0.1547,-0.0439,9.7945,0.6024,0.1452,0.3025,29.6455,-10.6938,38.6819,0.3328,0.7045,-0.7417,0.3014,0.0885,1.9741,-0.8623,-1.4264,0.2378,-0.928,-2.3764,-1.2801,-1.8599,0.725,0.1304
786,0.0076,-0.0808,9.7683,-0.232,0.4696,1.5127,28.5512,-10.8534,38.1433,0.9109,0.3343,-1.1888,-1.4369,-0.9825,-0.2965,-0.3203,-0.8314,-0.8718,-1.5375,-0.3452,-0.2567,-0.7144,1.1001,0.6886
797,0.0612,0.0047,9.8455,0.1491,-0.0063,0.6808,30.7273,-11.1652,41.5943,-0.8904,1.0659,-0.2288,-0.5126,1.4575,2.6982,-0.2356,1.2897,-1.0572,-0.4538,1.4923,0.2277,-1.1814,1.1691,-0.784
808,-0.0924,0.1589,9.842,-0.1501,-0.2776,0.7957,29.7512,-10.1572,40.2559,0.1988,1.4361,2.1674,-0.6011,0.3867,0.7288,-0.6523,-1.3423,-0.4571,1.25,0.602,0.3962,0.7231,-0.1105,-1.2589
819,-0.0771,0.0586,9.8906,-0.291,0.2844,-0.5489,28.9744,-9.7868,38.3897,0.5863,0.166,0.9059,0.5201,1.3458,-0.4251,0.2618,-0.8067,-0.7658,-0.5177,-0.996,-1.4203,-0.526,-0.2258,-1.5936
831,-0.1408,-0.0959,9.8975,-0.1308,-0.0521,0.725,28.8282,-10.0478,39.5542,-1.2822,0.3667,0.4976,2.1515,0.1412,-0.4612,-0.269,1.0862,0.3742,1.4816,0.73,-0.1798,-0.2409,0.3876,0.4434
841,0.0662,0.0157,9.7408,0.5523,0.2652,-0.3066,29.0549,-10.8694,40.3809,-0.8932,-0.2001,1.2322,0.3527,-1.5201,0.4242,0.9404,-0.2527,0.3407,-0.3698,1.7824,-0.7212,-0.675,1.4753,-0.0617
851,0.0469,-0.0313,9.817,-0.6342,-0.29,-0.2597,30.4656,-10.6735,40.1419,1.3414,-0.0121,-1.9361,0.6107,-0.1803,-0.831,0.4557,0.5577,0.3092,1.9835,0.0283,-1.0807,0.209,1.696,-0.9693
865,0.0635,-0.0013,9.9273,-0.2199,-0.223,-0.6785,31.5257,-10.672,41.5512,-1.7529,-0.4608,0.3919,-1.2884,-1.373,0.9085,-0.6681,-0.2019,0.3075,-0.9184,-0.9587,-0.6818,-0.7535,0.5214,1.3188
876,-0.1026,-0.0392,9.889,0.5885,-0.4526,-0.4928,30.3203,-7.8981,38.0457,0.1138,-1.7345,-0.4504,-0.3047,-0.9825,-1.2442,1.1478,1.2554,-1.4659,0.7123,-0.9421,2.0234,2.5845,-0.7752,0.8709
888,-0.0871,-0.0435,9.8554,-0.7186,-0.3032,-0.8792,28.2036,-9.5664,41.4342,1.4989,0.3241,0.3931,0.4263,-1.6772,1.0105,-2.0212,0.9864,-0.214,1.4752,0.3365,-0.3602,-1.7589,0.6198,-0.0528
901,0.1947,-0.0376,9.8282,0.1975,0.0015,-0.0393,31.4005,-9.0213,40.836,-0.1394,0.8657,-0.5802,1.2568,0.3643,2.0614,0.1301,2.1851,-0.8388,1.8027,2.0453,-0.1023,1.2873,0.315,0.7127
911,0.0625,0.0564,9.8638,1.1827,0.7539,0.4421,29.2968,-9.9795,40.8311,-0.2479,-0.1488,0.5603,-0.7273,-1.7549,-0.297,0.619,-0.7344,1.3623,-0.0207,0.511,-1.534,-1.045,1.0768,-0.016
923,-0.1508,-0.0247,9.8378,0.4566,0.0808,0.486,29.0968,-9.3056,37.3693,0.3861,-0.0495,-2.5198,0.5628,-0.68,1.6841,-1.1153,-1.9164,1.1966,0.2447,-0.6675,0.5937,-0.0138,-0.9324,-1.3812
934,-0.102,-0.0989,9.6648,0.2881,0.3113,0.2017,30.4106,-9.2768,40.2203,-0.3874,1.3966,1.1714,-1.311,-0.9942,-0.3376,0.0671,-0.0289,1.3274,-1.1773,-1.1959,0.5939,0.3481,1.0337,-0.3743
944,0.0873,0.206,9.6783,0.5553,1.1954,0.1708,27.5285,-8.5731,39.106,-0.119,0.7261,-0.5362,-0.1576,0.091,-0.945,-0.0364,-0.0148,0.4033,-0.2497,-1.5664,0.6128,1.185,-0.1224,-0.0946
955,0.067,-0.0287,9.7623,-0.04,-0.3221,-0.1873,30.7449,-10.7917,38.1301,0.229,-0.5778,-1.1161,0.8203,-0.1193,-0.5509,1.5187,1.2605,-0.0948,2.1129,0.5288,0.6781,-0.5334,-0.5159,1.0584
972,-0.1312,0.0553,9.7746,0.8352,0.1879,-0.771,29.4704,-10.7579,39.1794,1.0167,-0.8426,0.134,-1.2672,-0.3823,-1.345,-0.1785,-0.1476,-0.3556,-0.7402,1.4855,0.9095,0.1705,0.5902,-0.1588
983,0.1545,-0.045,9.7866,0.4408,0.1948,-0.0131,30.034,-8.0635,38.5823,-0.4741,-0.7531,0.5763,0.4538,-0.5744,0.7314,0.2831,-0.1912,-0.4174,1.7241,-0.7325,0.3747,0.8956,0.4034,0.4616
994,-0.1082,-0.035,9.7472,-0.0714,0.9775,0.5999,31.5867,-10.575,40.2638,-0.0106,-1.569,1.3281,1.4326,-0.3118,0.7207,-0.1979,-0.403,-0.5302,0.8455,-0.4082,-1.1936,1.013,1.2472,-1.3753
1005,-0.0128,0.1507,9.8634,0.0517,-0.4074,0.2313,29.525,-10.2458,39.5255,0.9745,-1.4018,0.0314,-1.2766,-0.1731,0.0209,2.3635,2.3173,1.0761,-2.103,-1.0568,0.8538,-0.2827,-0.0694,0.7524
1016,-0.1834,0.0373,9.7984,-0.2443,-0.0943,0.1877,30.9167,-8.8611,41.1402,-0.8299,0.1573,-0.2438,-1.2494,0.638,-1.049,0.0765,-1.5947,-1.1402,0.7106,-1.9064,-1.0047,-0.894,1.0466,-0.5928
1026,-0.0311,0.0534,9.77,-0.5129,-0.1284,-0.4334,29.8849,-10.02,38.2471,-0.7658,0.2338,0.8128,-0.2667,1.8805,-1.2161,0.0048,0.3951,-0.4231,1.1345,0.577,-0.4741,-1.309,-0.1848,-0.3296
1038,0.0632,0.0374,9.7753,-0.2701,0.2272,-0.4544,29.0973,-9.5567,39.7314,0.0301,-1.275,0.2379,-0.5806,0.0571,0.1772,0.5965,0.7706,0.7252,1.4769,1.122,1.1864,1.4832,-1.3672,0.3776
1048,0.0385,-0.0907,9.7635,-0.1173,-0.1388,0.4013,30.9477,-10.3495,40.6056,-2.0869,-0.4033,-1.4866,-1.0688,1.4369,0.4462,0.2694,0.8774,0.3929,1.0434,-0.2677,0.9201,0.9245,0.7742,0.531
1058,0.0868,-0.0924,9.7277,-0.4384,0.4846,0.6446,31.2849,-8.7928,38.5944,-0.0228,-2.2383,0.1931,-0.5945,-0.399,1.371,-1.3436,-0.9892,-1.2997,1.4422,-1.4927,-0.3189,-0.3781,0.0577,-0.2748
1068,-0.0102,0.0044,9.8065,-0.3787,-0.1298,0.1437,30.4205,-9.291,40.8241,0.2282,0.3796,-0.7438,-0.1032,0.5599,-1.0788,2.1026,1.2504,-1.4708,0.9706,1.2157,0.1118,1.0343,-0.3096,-0.2866
1082,-0.0089,0.0511,9.8531,0.277,-0.0779,0.1948,29.5099,-10.3181,42.5676,0.2381,1.447,1.7531,-0.6945,-1.6299,-0.1536,-0.435,-0.3356,1.2137,0.1734,-0.8809,-1.824,0.4504,-0.4697,0.3969
1097,0.0978,0.0535,9.873,0.2448,-0.2783,-0.5772,30.4195,-10.7222,40.7467,-0.6414,0.4164,0.1682,0.804,-1.0661,-0.8191,0.3066,-0.2016,0.6596,-0.345,0.8453,1.7173,0.5695,-0.6906,-1.0575
1107,-0.0176,0.0505,9.7325,-0.485,0.3001,-0.5372,28.9638,-9.3335,39.211,-1.5803,0.0712,-1.4404,1.063,-1.8564,0.2693,-0.7972,-0.1799,1.3932,-1.2361,-0.4641,-2.0614,-0.228,-0.7022,0.7597
1121,0.1374,0.0224,9.8529,-0.6815,-0.9379,-0.26,28.8843,-9.9528,39.4837,-0.7444,0.3079,0.7094,-0.9494,1.2246,0.2387,2.4621,-0.0673,1.3688,-2.5347,0.9606,-0.3346,0.2015,2.679,0.6177
1131,0.0733,-0.1497,9.7308,0.268,-1.1135,-0.8635,30.6813,-9.3495,40.6529,-1.3556,1.8142,0.8701,-1.236,-0.8505,0.9142,1.2914,0.7061,0.9497,0.4824,-0.164,1.2439,0.0586,-1.1519,1.034
1142,0.0918,0.054,9.809,0.0906,0.1122,-0.1444,28.4687,-9.6171,40.4336,-0.5178,1.0193,0.8405,-0.7758,-1.9933,0.3538,0.4657,-0.1075,0.5001,-0.9349,-0.3513,0.6932,0.0405,1.1494,-1.7968
1154,-0.0617,-0.0897,9.7581,0.8459,0.1234,0.0159,31.5612,-9.918,41.6566,1.0672,0.739,-0.686,-1.4117,0.5773,1.3682,0.0047,0.8135,-0.0186,-0.4247,0.512,-0.1571,0.9005,-1.2251,1.8087
1164,0.0704,0.0139,9.8058,0.7315,-0.1613,-0.0406,30.1294,-12.0093,41.0047,1.2517,0.4924,-0.6932,-0.0159,0.4045,0.0189,-1.3787,0.9265,1.4557,-1.6865,0.3648,0.9559,0.7975,1.8674,0.5373
1175,-0.0283,0.0674,9.7897,-0.0593,0.6253,-0.2611,28.2951,-10.1621,40.6699,-1.3596,1.35,0.0445,1.3846,0.2155,-1.1506,-0.2746,-0.625,0.4819,-0.1243,-0.4057,-0.3907,2.5194,-1.3233,0.5341
1185,-0.041,-0.0577,9.8354,-0.9417,-0.2811,-0.5237,31.1695,-8.8221,39.7735,0.1672,-0.7687,-1.4263,-0.7498,-0.531,-0.6272,1.777,0.946,-1.5962,-1.5135,-0.9933,-0.0919,0.3939,-0.8494,0.8923
1196,0.0076,-0.0442,9.8191,0.0163,-0.0319,-0.2531,28.3657,-10.5285,40.0068,-1.6524,-0.2397,-0.4146,0.2425,-0.4514,-1.551,0.3823,-0.0473,-0.3627,0.2925,0.2071,-0.374,1.0677,-0.2581,0.7887
1214,-0.018,0.0001,9.7832,-0.3271,0.9727,-0.2794,30.169,-9.9519,41.9914,2.2615,0.5883,-0.0962,-0.273,0.1254,0.6656,1.1138,1.3845,2.0368,-1.604,1.0883,-1.9788,-0.3703,0.9408,-0.1915
1224,0.0281,0.1662,9.8657,0.1831,0.4248,0.1201,30.861,-9.8805,39.7729,-0.8776,-0.644,-0.1155,0.9064,1.8991,-0.889,-0.3441,-2.0071,0.3034,0.4287,0.2855,-0.6416,0.5833,0.494,-0.6752
1235,0.1335,0.1144,9.7777,-0.2439,-0.2304,-0.1728,30.794,-10.8593,40.1342,-1.8185,-0.4127,-1.0778,0.0895,0.8101,0.4571,0.2209,-0.3139,1.2849,0.498,0.1389,-1.3181,0.524,0.5811,1.024
1247,0.1572,-0.024,9.7559,0.4162,-0.2738,-0.3072,30.8919,-10.8014,40.3574,0.1094,-0.645,-1.2083,-0.4329,-0.6857,-0.2237,1.2881,-0.8131,0.7777,0.926,-0.2989,0.4696,-0.0721,-0.7483,1.1623
1258,0.0589,0.0081,9.9038,0.5497,0.0306,-0.5785,29.9258,-10.7626,41.1424,1.338,1.1782,-1.4565,0.0406,1.5136,0.4416,0.581,-0.9658,0.021,0.3209,1.0465,0.0544,-1.1122,0.3133,0.1475
